iter	RMSE
0	0.8344395283
1	0.827161207
2	0.8209439141
3	0.8158276162
4	0.8113550984
5	0.8076417585
6	0.8045356464
7	0.8018767935
8	0.7994979131
9	0.7976669939
10	0.7960566736
11	0.7947167639
12	0.7934908852
13	0.7924558835
14	0.7916043202
15	0.7909283177
16	0.7903139095
17	0.7897885021
18	0.7893835242
19	0.7889782777
20	0.7886489944
21	0.7883615064
22	0.7881136312
23	0.7879217006
24	0.7877546633
25	0.7876296712
26	0.7875183843
27	0.787417191
28	0.7873404281
29	0.78726386
30	0.7871935525
31	0.7871369265
32	0.7870830184
33	0.7870368532
34	0.7870030908
35	0.7869628506
36	0.7869421404
37	0.7869363827
38	0.7869133255
39	0.786892889
40	0.7868668246
41	0.7868451759
42	0.7868300251
43	0.7868275318
44	0.7868166581
45	0.7868037903
46	0.7867930667
47	0.7867875657
48	0.7867831787
49	0.7867724344
50	0.7867615736
51	0.7867552746
52	0.7867486473
53	0.786739583
54	0.7867344393
55	0.7867304876
56	0.7867233499
57	0.7867196952
58	0.7867125639
59	0.7867088944
60	0.7867071833
61	0.7867037487
62	0.7867002993
63	0.7866975197
64	0.7866953312
65	0.7866914486
66	0.7866865666
67	0.7866843891
68	0.7866816012
69	0.7866788332
70	0.7866782318
71	0.7866768175
72	0.7866749174
73	0.7866738585
74	0.7866738491
75	0.786672527
76	0.7866701314
77	0.7866690368
78	0.7866679379
79	0.7866678341
80	0.7866670051
81	0.7866659224
82	0.7866647029
83	0.7866638261
84	0.7866637255
85	0.7866636516
86	0.786662001
87	0.7866615339
88	0.7866598539
89	0.7866592311
90	0.7866576304
91	0.7866573839
92	0.7866565912
93	0.7866561418
94	0.7866561416
95	0.7866543249
96	0.7866541261
97	0.7866499645
98	0.7866492602
99	0.786648089
100	0.7866455737
101	0.7866454992
102	0.7866431512
103	0.7866424678
104	0.7866424675
105	0.7866420752
106	0.786641544
107	0.7866412
108	0.7866411938
109	0.7866406987
110	0.7866399678
111	0.7866399678
112	0.7866383953
113	0.7866370288
114	0.7866369318
115	0.7866369049
116	0.7866365396
117	0.7866361887
118	0.7866361559
119	0.786635826
120	0.7866355045
121	0.7866347705
122	0.7866345953
123	0.78663454
124	0.7866343931
125	0.7866337135
126	0.7866327201
127	0.7866326904
128	0.7866320255
129	0.7866313312
130	0.7866311938
131	0.78663063
132	0.7866305853
133	0.7866302809
134	0.7866289284
135	0.7866285491
136	0.7866270761
137	0.7866268686
138	0.7866257233
139	0.7866254446
140	0.7866244987
141	0.7866244986
142	0.7866236885
143	0.7866233514
144	0.786622673
145	0.7866220624
146	0.7866218956
147	0.786620844
148	0.7866195412
149	0.7866188657
150	0.7866178914
151	0.7866174942
152	0.7866174036
153	0.7866172463
154	0.7866169419
155	0.7866162962
156	0.7866159425
157	0.7866158167
158	0.7866153477
159	0.7866150068
160	0.7866144249
161	0.786613871
162	0.7866129321
163	0.7866126085
164	0.7866118981
165	0.7866114218
166	0.7866111089
167	0.7866107289
168	0.7866099686
169	0.7866094074
170	0.7866092253
171	0.7866088381
172	0.7866085232
173	0.786608041
174	0.7866078421
175	0.7866071875
176	0.7866067638
177	0.7866061416
178	0.7866054769
179	0.7866051947
180	0.7866048498
181	0.7866045328
182	0.7866042469
183	0.7866040509
184	0.7866036811
185	0.7866033948
186	0.7866031687
187	0.7866029887
188	0.7866028058
189	0.7866026778
190	0.7866024102
191	0.786602282
192	0.7866019061
193	0.786601672
194	0.7866015016
195	0.7866013552
196	0.7866011672
197	0.7866010546
198	0.7866007194
199	0.7866005875
200	0.7866004112
201	0.7865998097
202	0.7865991737
203	0.7865986644
204	0.7865981085
205	0.7865979674
206	0.7865975619
207	0.7865974097
208	0.7865969428
209	0.7865968383
210	0.7865966731
211	0.78659653
212	0.7865962681
213	0.7865960654
214	0.7865959829
215	0.7865957392
216	0.7865953521
217	0.7865950679
218	0.7865948444
219	0.7865947048
220	0.7865945511
221	0.7865943831
222	0.7865941112
223	0.7865940504
224	0.7865939287
225	0.7865938131
226	0.7865937826
227	0.7865936364
228	0.7865934861
229	0.786593431
230	0.7865932545
231	0.7865931704
232	0.7865930995
233	0.786592996
234	0.7865928912
235	0.7865928408
236	0.7865927707
237	0.7865927309
238	0.7865926945
239	0.7865926429
240	0.7865926019
241	0.7865925628
242	0.7865925297
243	0.7865924942
244	0.786592342
245	0.786592301
246	0.7865921983
247	0.786592163
248	0.7865921267
249	0.786592101
250	0.7865920516
251	0.7865920182
252	0.7865919886
253	0.7865919632
254	0.7865919423
255	0.7865919209
256	0.7865919096
257	0.7865918965
258	0.7865918858
259	0.7865918649
260	0.7865917781
261	0.7865917604
262	0.7865917214
263	0.7865917049
264	0.7865916902
265	0.7865916835
266	0.7865916432
267	0.7865916262
268	0.7865915503
269	0.7865915387
270	0.7865913962
271	0.7865912895
272	0.786591235
273	0.7865912156
274	0.7865912046
275	0.7865911208
276	0.7865911086
277	0.7865910693
278	0.7865909829
279	0.7865909737
280	0.7865909615
281	0.7865909216
282	0.7865909023
283	0.7865908991
284	0.7865907819
285	0.7865907711
286	0.7865907634
287	0.7865907597
288	0.7865907153
289	0.7865906867
290	0.7865906684
291	0.7865905856
292	0.7865905508
293	0.7865905423
294	0.7865905257
295	0.7865904705
296	0.7865904647
297	0.7865904167
298	0.7865903884
299	0.7865903846
300	0.7865903604
301	0.7865903126
302	0.786590263
303	0.7865902624
304	0.7865902583
305	0.786590228
306	0.7865901928
307	0.7865901402
308	0.786590138
309	0.7865900996
310	0.7865900554
311	0.7865900352
312	0.7865900262
313	0.7865899944
314	0.7865899774
315	0.7865899709
316	0.7865899659
317	0.786589951
318	0.7865899328
319	0.7865899232
320	0.7865899227
321	0.786589903
322	0.7865898995
323	0.7865898843
324	0.7865898628
325	0.7865898455
326	0.7865898271
327	0.7865897781
328	0.7865897776
329	0.7865897519
330	0.786589738
331	0.7865897306
332	0.7865897292
333	0.7865897277
334	0.7865897118
335	0.7865896938
336	0.7865896883
337	0.7865896876
338	0.7865896659
339	0.7865896616
340	0.7865896312
341	0.7865896092
342	0.7865895967
343	0.7865895914
344	0.786589587
345	0.7865895825
346	0.7865895823
347	0.7865895577
348	0.7865895465
349	0.7865895448
350	0.7865895443
351	0.7865895378
352	0.7865895272
353	0.7865895249
354	0.7865895244
355	0.7865895078
356	0.7865895032
357	0.7865895026
358	0.786589502
359	0.786589492
360	0.7865894894
361	0.7865894796
362	0.7865894777
363	0.7865894743
364	0.7865894695
365	0.7865894605
366	0.7865894586
367	0.7865894557
368	0.7865894368
369	0.7865894222
370	0.78658941
371	0.7865894097
372	0.7865894092
373	0.786589398
374	0.7865893899
375	0.7865893742
376	0.7865893732
377	0.7865893719
378	0.7865893712
379	0.7865893696
380	0.7865893675
381	0.7865893632
