iter	Passed	Remaining
0	26	26950
1	49	24826
2	73	24360
3	105	26272
4	126	25078
5	150	24873
6	172	24463
7	194	24127
8	217	23956
9	240	23768
10	265	23865
11	286	23586
12	312	23698
13	332	23435
14	355	23362
15	378	23296
16	411	23819
17	430	23507
18	456	23550
19	478	23424
20	511	23836
21	531	23646
22	555	23583
23	576	23457
24	602	23478
25	624	23401
26	655	23630
27	678	23564
28	702	23529
29	725	23445
30	757	23678
31	776	23482
32	801	23492
33	826	23474
34	849	23432
35	871	23341
36	895	23316
37	910	23056
38	930	22931
39	958	23009
40	978	22897
41	1005	22925
42	1024	22803
43	1038	22571
44	1064	22596
45	1085	22516
46	1111	22544
47	1129	22404
48	1154	22408
49	1172	22271
50	1202	22382
51	1222	22280
52	1244	22233
53	1266	22190
54	1290	22174
55	1317	22216
56	1347	22291
57	1367	22208
58	1389	22169
59	1412	22123
60	1431	22036
61	1457	22045
62	1478	21982
63	1504	22006
64	1524	21931
65	1555	22016
66	1574	21924
67	1610	22074
68	1642	22157
69	1664	22117
70	1706	22327
71	1764	22738
72	1852	23526
73	1879	23518
74	1905	23501
75	1934	23513
76	1958	23473
77	1978	23389
78	2008	23417
79	2026	23301
80	2062	23404
81	2086	23359
82	2120	23426
83	2156	23520
84	2180	23477
85	2208	23474
86	2229	23400
87	2254	23369
88	2277	23308
89	2301	23273
90	2320	23179
91	2343	23132
92	2363	23053
93	2386	22997
94	2401	22880
95	2423	22819
96	2450	22809
97	2467	22714
98	2490	22664
99	2511	22601
100	2540	22608
101	2561	22552
102	2580	22476
103	2602	22421
104	2616	22302
105	2640	22271
106	2660	22205
107	2677	22113
108	2693	22014
109	2716	21975
110	2734	21904
111	2750	21807
112	2774	21776
113	2796	21734
114	2813	21651
115	2829	21561
116	2846	21481
117	2868	21439
118	2881	21331
119	2899	21266
120	2925	21252
121	2944	21194
122	2965	21146
123	2981	21065
124	2998	20991
125	3019	20944
126	3039	20891
127	3058	20837
128	3080	20797
129	3097	20730
130	3117	20681
131	3135	20617
132	3156	20576
133	3178	20543
134	3199	20499
135	3219	20452
136	3242	20426
137	3261	20373
138	3283	20337
139	3303	20291
140	3320	20228
141	3332	20135
142	3351	20086
143	3370	20038
144	3391	19998
145	3411	19953
146	3425	19876
147	3446	19839
148	3466	19799
149	3489	19772
150	3508	19726
151	3528	19685
152	3546	19635
153	3564	19579
154	3582	19530
155	3605	19504
156	3625	19467
157	3643	19415
158	3662	19371
159	3681	19326
160	3700	19284
161	3718	19237
162	3742	19217
163	3761	19176
164	3781	19136
165	3799	19088
166	3816	19036
167	3835	18995
168	3858	18971
169	3877	18930
170	3898	18899
171	3916	18855
172	3939	18833
173	3957	18788
174	3978	18754
175	3997	18713
176	4015	18668
177	4035	18634
178	4054	18598
179	4074	18560
180	4091	18514
181	4109	18470
182	4129	18436
183	4147	18393
184	4168	18362
185	4187	18326
186	4209	18302
187	4235	18293
188	4261	18286
189	4286	18274
190	4312	18265
191	4350	18308
192	4376	18300
193	4399	18279
194	4431	18293
195	4452	18264
196	4471	18224
197	4489	18185
198	4509	18149
199	4527	18111
200	4549	18082
201	4569	18052
202	4590	18021
203	4612	17995
204	4632	17966
205	4651	17929
206	4670	17892
207	4690	17859
208	4711	17830
209	4730	17796
210	4752	17772
211	4774	17747
212	4798	17731
213	4820	17706
214	4840	17673
215	4860	17642
216	4879	17605
217	4900	17578
218	4918	17541
219	4937	17504
220	4956	17471
221	4976	17440
222	4998	17416
223	5017	17381
224	5034	17340
225	5054	17310
226	5075	17282
227	5095	17254
228	5115	17223
229	5133	17186
230	5154	17158
231	5177	17140
232	5199	17114
233	5219	17085
234	5236	17046
235	5259	17026
236	5278	16992
237	5297	16960
238	5317	16930
239	5339	16909
240	5356	16869
241	5381	16855
242	5400	16825
243	5421	16796
244	5444	16779
245	5464	16750
246	5487	16729
247	5506	16698
248	5526	16667
249	5545	16635
250	5565	16606
251	5586	16583
252	5606	16553
253	5623	16517
254	5641	16482
255	5659	16448
256	5679	16420
257	5698	16389
258	5719	16364
259	5737	16330
260	5758	16304
261	5775	16269
262	5794	16237
263	5813	16208
264	5833	16179
265	5849	16142
266	5870	16116
267	5892	16093
268	5918	16082
269	5957	16106
270	5978	16082
271	5997	16052
272	6020	16032
273	6038	15999
274	6060	15978
275	6078	15946
276	6098	15919
277	6118	15891
278	6140	15867
279	6159	15839
280	6179	15812
281	6200	15786
282	6220	15760
283	6239	15731
284	6259	15704
285	6280	15680
286	6304	15662
287	6324	15636
288	6348	15618
289	6366	15587
290	6386	15560
291	6406	15532
292	6425	15505
293	6444	15475
294	6463	15447
295	6484	15421
296	6503	15394
297	6523	15367
298	6545	15345
299	6566	15322
300	6586	15296
301	6607	15271
302	6635	15263
303	6661	15251
304	6679	15221
305	6705	15207
306	6727	15186
307	6747	15160
308	6767	15134
309	6788	15109
310	6809	15086
311	6829	15059
312	6849	15033
313	6872	15013
314	6894	14991
315	6912	14962
316	6933	14938
317	6954	14914
318	6977	14895
319	6996	14868
320	7015	14839
321	7034	14811
322	7053	14784
323	7075	14761
324	7097	14740
325	7118	14716
326	7140	14695
327	7160	14669
328	7178	14641
329	7198	14614
330	7220	14593
331	7244	14576
332	7261	14545
333	7281	14518
334	7300	14491
335	7320	14465
336	7340	14440
337	7359	14414
338	7380	14391
339	7399	14363
340	7421	14341
341	7441	14317
342	7460	14289
343	7481	14267
344	7502	14243
345	7521	14216
346	7541	14192
347	7561	14166
348	7581	14141
349	7601	14117
350	7619	14087
351	7638	14061
352	7656	14034
353	7675	14007
354	7700	13990
